cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
1     114497     1129.02     158873     1279.16     0.418835     0.00488773
2     247320     1652.22     333078     1868.34     0.426122     0.00338478
3     253340     1707.92     340227     1921.99     0.42681     0.00342016
4     252049     5392     341867     4493.19     0.424385     0.0103719
5     253597     1722.89     340525     1935.83     0.426844     0.00344613
6     251772     1316.68     342133     1588.45     0.423927     0.00266155
7     253398     1632.19     340630     1855.31     0.426576     0.00327085
8     253398     1632.19     340630     1855.31     0.426576     0.00327085
9     253398     1632.19     340630     1855.31     0.426576     0.00327085
10     253398     1632.19     340630     1855.31     0.426576     0.00327085
