cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
0     256115     995.526     423833     1410.28     0.376668     0.00174875
1     256115     995.526     423833     1410.28     0.376668     0.00174875
2     256115     995.526     423833     1410.28     0.376668     0.00174875
3     254266     983.122     412791     1390.53     0.381176     0.0017661
4     238981     2423.82     342335     2176.81     0.411103     0.00476374
5     238031     898.188     327466     1239.73     0.420923     0.0019548
6     228733     891.1     292878     1196.27     0.438513     0.00211923
7     219790     825.928     263494     1113.8     0.454784     0.00215018
8     211001     796.119     238372     1061.31     0.469545     0.00224953
9     203092     766.141     216609     1011.32     0.483896     0.00233925
