cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
0.9965     239511     1018.43     361397     1301.41     0.398582     0.00201838
0.9966     239121     1050.71     359171     1325.6     0.399672     0.0020883
0.9967     238536     1048.46     356964     1321.82     0.400564     0.00209469
0.9968     238073     1007.53     354625     1286.86     0.401677     0.00202891
0.9969     237398     1043.15     352261     1313.59     0.402602     0.00210745
0.997     236880     1041.59     349777     1310.32     0.40378     0.00211651
0.9971     236182     1038.93     347224     1306.04     0.404833     0.00212422
0.9972     235439     1038.46     344583     1303.38     0.405914     0.00213672
0.9973     234703     963.212     341849     1241.02     0.40708     0.00200533
0.9974     233932     1028.34     339016     1290.57     0.408295     0.00214575
0.9975     233067     1023.85     336096     1284.51     0.409491     0.00215236
0.9976     231948     1002.69     333102     1264.31     0.410492     0.00212677
0.9977     231444     1773.9     325174     1908.16     0.415804     0.00373421
0.9978     230327     2020.86     320717     1934.33     0.417982     0.00423696
0.9979     228957     1009.56     322993     1261.87     0.414815     0.00219558
0.998     227968     1005.42     319244     1255.25     0.416599     0.00220794
0.9981     226816     968.615     315312     1222.54     0.418381     0.00215434
0.9982     225597     1002.44     311227     1245.79     0.420244     0.00224809
0.9983     225150     1011.73     302027     887.056     0.427086     0.00220713
0.9984     220000     1057.32     299101     1282.08     0.42381     0.00244733
