cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
0     231125     1905.28     601613     1087.94     0.277549     0.00240199
0.01     229104     2027.84     540909     1424.14     0.297532     0.00280217
0.02     226320     1452.72     478849     1799.19     0.320945     0.00231337
0.03     223762     908.22     441587     1232.59     0.336307     0.00156914
0.04     225233     5504.54     404478     5214.1     0.357676     0.00974466
0.05     219074     1732.96     393650     1193.65     0.357541     0.00308334
0.06     220650     5790.07     372784     5702.21     0.371819     0.0110056
0.07     214025     1280.45     361205     1566.29     0.372069     0.00258212
0.08     216447     5605.78     344291     5595.96     0.386005     0.0113874
0.09     214351     1656.77     332077     1864.59     0.392276     0.00352129
