cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
0.1     195581     4554.07     372423     4043.54     0.344331     0.00882685
0.2     240265     5076.52     535810     3467.9     0.309589     0.00698593
0.3     222352     5184.98     393301     4645.62     0.361164     0.0093599
0.4     222720     4827.17     393654     4322.58     0.36134     0.00870418
0.5     245249     5758.81     539332     4355.06     0.312586     0.00788353
0.6     245311     5813.41     539330     4431.12     0.312641     0.00796092
0.7     245327     5844.19     539327     4474.05     0.312656     0.0080047
0.8     245325     5831.76     539340     4456.65     0.31265     0.00798686
0.9     245329     5820.05     539345     4440.29     0.312651     0.00797007
1     245332     5819.88     539348     4440.08     0.312652     0.00796979
