cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
1     181335     1052.9     351159     640.093     0.340539     0.00212854
2     186905     848.684     361115     984.067     0.341055     0.00174709
3     188599     4513.23     331917     4100.99     0.362331     0.00965404
4     193633     1313.99     338855     1591.43     0.363639     0.00284175
5     198274     4421.09     346116     4060.93     0.364213     0.00906002
6     202138     4614.56     349578     4176.05     0.36638     0.00932943
7     205731     4486.8     354010     4124.32     0.367547     0.00895924
8     211120     4021.46     367846     4005.74     0.36465     0.00781193
9     214413     851.246     394515     1091.27     0.352116     0.00161082
10     214033     4859.04     365146     4433.59     0.369545     0.00938076
11     216203     5357.61     366279     5031.67     0.371175     0.0103217
12     220594     843.794     407314     1078.4     0.351316     0.00154686
13     217393     4007.59     374567     3709.4     0.367243     0.00757037
14     219469     4882.95     371748     4492.61     0.371215     0.00925044
15     223592     1262.95     411911     968.066     0.351835     0.00217385
16     223669     2099.08     410865     2299.47     0.352494     0.00373293
17     220630     1823.52     372305     2049.06     0.372098     0.00352438
18     224235     1266.16     411698     949.474     0.352608     0.00217582
19     221076     5206.56     372998     5032.96     0.372136     0.0098685
20     224864     1249.64     413703     837.251     0.352139     0.00212549
21     222494     5988.5     375671     5921.16     0.371961     0.0112984
22     224672     1100.92     412734     1026.44     0.352479     0.00191729
23     224885     1277.8     413709     947.109     0.352157     0.00218475
24     224355     883.837     409126     1063.28     0.354162     0.00159503
25     224882     969.957     414855     1228.2     0.351523     0.00174308
26     224713     1276.4     413174     942.656     0.352277     0.00218445
27     221221     1404.04     373318     1692.79     0.372089     0.00273339
28     224681     1310.86     412332     926.03     0.35271     0.0022415
29     223279     5057.96     379057     5007.14     0.370688     0.00947094
