cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
0     222499     1986.91     373293     2196.57     0.37345     0.00381685
0.01     221477     1857.96     368420     2086     0.37545     0.00361681
0.02     220696     2149.9     367299     2317.93     0.375336     0.00417628
0.03     214163     2182.72     332696     1641.39     0.391624     0.00444479
0.04     218928     2122.56     364552     2317.46     0.375211     0.0041614
0.05     212807     2252.78     334825     2322.53     0.388595     0.00471103
0.06     216627     1940.01     361390     2156.08     0.374776     0.00384725
0.07     215763     1942.06     363268     2151.87     0.372627     0.00383782
0.08     220238     1586.63     410229     1489.03     0.349325     0.00279048
0.09     212490     2173.21     355517     2359.12     0.374098     0.00437049
