cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
0     245242     5475.24     539314     3988.64     0.312588     0.00748248
1     245242     5475.24     539314     3988.64     0.312588     0.00748248
2     245242     5475.24     539314     3988.64     0.312588     0.00748248
3     245242     5475.24     539314     3988.64     0.312588     0.00748248
4     245242     5475.24     539314     3988.64     0.312588     0.00748248
5     245242     5475.24     539314     3988.64     0.312588     0.00748248
6     245242     5475.24     539314     3988.64     0.312588     0.00748248
7     245242     5475.24     539314     3988.64     0.312588     0.00748248
8     236696     4310.15     521222     2684.65     0.312297     0.00605953
9     209633     1363.92     407285     952.927     0.339807     0.00239329
10     204997     4532.03     451069     3060.83     0.312464     0.00738263
11     459043     313.508     84604.3     196.757     0.844376     0.000814277
12     113644     3131.46     185709     2876.98     0.379632     0.011769
13     66956.4     2141.41     117306     1921.79     0.363376     0.0129328
14     26236     595.401     62591.4     685.241     0.295359     0.00735118
15     14323.7     762.619     43846.4     818.655     0.246237     0.0139394
