cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
0     224594     3770.29     413403     3872.94     0.35203     0.00661948
1     219322     1915.32     353122     2119.2     0.383133     0.00385355
2     221320     1081.99     370184     1293.18     0.374165     0.00211746
3     226234     3170.38     374165     2932.91     0.376806     0.0059355
4     396025     510.184     85082.5     581.735     0.823153     0.00169622
5     197555     1660.85     252863     1817.6     0.438603     0.00439827
6     187802     1518.29     224944     1663.38     0.455006     0.00443794
7     176393     1147.44     200867     1288.76     0.467563     0.00371812
8     164172     646.64     177551     800.636     0.480425     0.00238207
9     152497     657.326     159040     787.24     0.489498     0.00265492
10     140836     756.839     141403     876.111     0.498995     0.0033735
11     133494     1063.28     145012     1071.35     0.479322     0.00461781
12     123806     2556.03     129963     2521.3     0.487869     0.0122103
13     113413     852.013     115242     941.618     0.496001     0.00463384
14     102546     844.505     101142     923.838     0.503446     0.00517307
15     93056.2     1166.19     84918.2     1217.94     0.522863     0.00821445
16     85054.4     1102.53     76346.3     1149.64     0.526977     0.00858546
17     77416.8     954.133     69113.2     999.579     0.528334     0.00819908
18     68088.5     837.495     55503.1     886.121     0.550915     0.0086866
19     62920.6     909.636     53226.9     948.144     0.54173     0.00994451
