cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
0.4     220234     2221.17     408357     2436.76     0.350361     0.00398291
0.5     218353     1710.88     324755     1921.51     0.402043     0.00368116
0.6     212609     1545.24     252128     1709.52     0.457482     0.00402508
0.7     205428     1442.4     203305     1569.13     0.502597     0.00439572
0.8     195855     756.453     167490     879.769     0.539032     0.00270133
0.9     189289     1517.64     151590     1585.42     0.555295     0.00570998
1     180743     1452.29     134085     1507.32     0.5741     0.00598732
1.1     172040     1364.82     120439     1410.1     0.588213     0.00611158
1.2     163023     1307.86     108172     1348.4     0.601129     0.00637143
1.3     158198     631.361     107773     603.537     0.594794     0.0030741
1.4     151049     563.612     100151     587.393     0.601309     0.00297175
1.5     144608     1157.82     93361.3     1181.37     0.607675     0.00644314
1.6     135847     1283.48     83178.7     1303.61     0.620234     0.00782153
1.7     131765     481.026     81638.9     494.082     0.617445     0.00301021
1.8     125910     461.422     76182.1     477.554     0.623034     0.00306663
1.9     119790     1229.69     69211.5     1241.68     0.633805     0.00875636
2     116218     443.703     67307.4     453.702     0.633253     0.00326187
2.1     112161     1143.47     63729.1     1150.75     0.637677     0.00876667
2.2     107734     607.262     60029.5     613.724     0.642178     0.00490153
2.3     103512     1021.25     56304.8     1025.07     0.647691     0.00867306
2.4     98700.8     1501.24     52199.2     1501.56     0.654081     0.0135528
2.5     95333.2     433.802     49758.3     435.702     0.657056     0.00408554
2.6     91450.7     632.036     46731.5     632.35     0.661812     0.00626549
2.7     88449     749.438     44037     747.71     0.66761     0.0077754
2.8     85243.8     1028.39     41415     1025.89     0.673019     0.0112027
2.9     82269.7     805.915     39128.1     801.168     0.677687     0.00918227
3     79604.6     569.794     37042     565.071     0.682442     0.00677519
3.1     76352.7     968.87     35047.5     963.636     0.685391     0.0120965
3.2     73633.4     912.858     33145.6     906.37     0.689587     0.0119207
3.3     70791.7     877.857     31202.1     870.592     0.694079     0.0120361
3.4     68236.6     711.638     29500.6     701.708     0.698164     0.0101971
3.5     66023.4     862.655     27793.7     853.96     0.703746     0.0129405
3.6     63832.3     1335.53     26232.2     1330.71     0.70874     0.020976
3.7     61326.1     391.595     24818     376.795     0.711901     0.0063901
3.8     59039.6     627.981     23483.8     614.359     0.715429     0.0107664
3.9     56844.3     753.213     22059.3     741.752     0.720428     0.0135753
4     55003.4     749.158     20784.6     736.996     0.725754     0.0141063
4.1     53365.2     472.83     19679.9     458.229     0.730579     0.00923422
4.2     51227.7     404.007     18634.5     385.933     0.733268     0.00823601
4.3     49249.8     310.798     17688.4     291.551     0.735751     0.00659525
