eta_bin         mean        sigma1          n1      sigma2          n2      sigma_eff
-2.1to-1.9     3.09225     0.0376388     100982     0.0581436     153456    0.0500056
-1.9to-1.7     3.09215     0.0333404     328693     0.0509864     443234    0.0434726
-1.7to-1.5     3.0921     0.03119     400552     0.0463514     581001    0.0401644
-1.5to-1.3     3.09294     0.0264292     242557     0.0410831     846473    0.0378193
-1.3to-1.1     3.09385     0.0259269     335497     0.0386756     823312    0.0349846
-1.1to-0.9     3.09437     0.0240543     485475     0.0358982     656393    0.0308627
-0.9to-0.7     3.09478     0.0318203     552442     0.0207342     595252    0.0260705
-0.7to-0.5     3.09446     0.0277679     496704     0.0185235     538629    0.0229586
-0.5to-0.3     3.09446     0.0255059     386284     0.0166119     391156    0.021031
-0.3to-0.1     3.0946     0.0239617     297741     0.0152892     360781    0.0192104
-0.1to0.1     3.09461     0.0233531     249013     0.0146375     353330    0.0182406
0.1to0.3     3.09467     0.0241591     284694     0.0155688     377359    0.0192627
0.3to0.5     3.09445     0.025451     396967     0.0165592     392482    0.0210304
0.5to0.7     3.0943     0.0268418     559488     0.0180856     470936    0.02284
0.7to0.9     3.09464     0.0210102     568750     0.0310363     568937    0.0260241
0.9to1.1     3.09436     0.0237892     437637     0.0352581     685249    0.0307882
1.1to1.3     3.09392     0.026039     311955     0.0382979     808432    0.0348846
1.3to1.5     3.0932     0.0293371     353207     0.0422561     715445    0.0379861
1.5to1.7     3.09242     0.0309899     456187     0.04663     635689    0.0400955
1.7to1.9     3.09257     0.0337371     412956     0.0518843     495210    0.0436325
1.9to2.1     3.09269     0.0343517     99508.4     0.0568343     214340    0.049706
