eta_bin         mean        sigma1          n1      sigma2          n2      sigma_eff
-2.1to-1.9     3.09235     0.0450795     1464.47     0.0450663     5787.78    0.0450689
-1.9to-1.7     3.093     0.0384953     5304.5     0.0384939     14549.2    0.0384943
-1.7to-1.5     3.09315     0.0354646     10424.8     0.0354642     13406.1    0.0354644
-1.5to-1.3     3.09342     0.0341721     13235.1     0.0341727     12657.8    0.0341724
-1.3to-1.1     3.0945     0.0318094     16039.2     0.0318085     12524.8    0.031809
-1.1to-0.9     3.09528     0.0280203     16745.7     0.0280191     16808.3    0.0280197
-0.9to-0.7     3.09538     0.0242536     21995.6     0.0242532     19674.5    0.0242534
-0.7to-0.5     3.0946     0.0211895     20888.1     0.0211893     22993.8    0.0211894
-0.5to-0.3     3.09474     0.0201218     35683.9     0.0112592     1152.4    0.0198446
-0.3to-0.1     3.09482     0.0191912     16676.4     0.0169851     16367.7    0.0180985
-0.1to0.1     3.09488     0.0189483     15627.3     0.0156963     16198.8    0.0172931
0.1to0.3     3.09478     0.025499     1157.14     0.017924     31804.4    0.01819
0.3to0.5     3.09485     0.0201473     20230.3     0.0195414     17343.6    0.0198676
0.5to0.7     3.09467     0.0212655     23189.9     0.0212629     19948.7    0.0212643
0.7to0.9     3.09491     0.0239186     21861.5     0.0239187     18990.7    0.0239186
0.9to1.1     3.09495     0.0280925     16201.9     0.028092     16258.1    0.0280922
1.1to1.3     3.09468     0.0316503     13353.6     0.0316507     13255.5    0.0316505
1.3to1.5     3.09387     0.0341716     11195     0.0341717     12681.9    0.0341717
1.5to1.7     3.09286     0.0356737     11753.9     0.0356712     13247.4    0.0356724
1.7to1.9     3.093     0.0389038     7643.35     0.0389077     14845.6    0.0389064
1.9to2.1     3.09237     0.0445702     4915.18     0.0445894     3671.14    0.0445784
