cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
0     14468.8     0.954791     29545.8     0.4461     0.328727     2.30764e-05
1     4454.75     188.501     31186.5     42.8059     0.124989     0.0053321
2     2991.63     267.003     16532     322.321     0.153231     0.0140649
3     2718.49     230.086     12995     280.383     0.173004     0.0151774
4     2577.2     216.084     11040     261.375     0.18926     0.0165537
5     2479.08     230.275     10268.9     268.328     0.194468     0.0188517
6     2279.94     186.76     8247.56     227.874     0.21657     0.018747
7     2250.69     358.512     8845.06     345.797     0.202843     0.0335694
8     2088.5     188.162     6850.41     221.475     0.233641     0.0223783
9     1977.01     149.725     5586.11     186.111     0.261402     0.0214491
