cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
0.99     2720.49     229.874     12973.1     280.193     0.173351     0.0151848
0.991     2750.65     234.018     12685.2     281.559     0.178199     0.0157388
0.992     2740.69     238.45     13001     282.704     0.174104     0.0156903
0.993     2747.7     240.834     12357.8     282.755     0.181901     0.016559
0.994     2693.36     222.834     11439.2     265.086     0.190578     0.0164444
0.995     2611.6     212.601     10545.9     254.144     0.198488     0.0169136
0.996     2599.66     243.519     10158.3     277.454     0.203768     0.0199776
0.997     2494.04     277.751     9751.13     304.779     0.203675     0.0236968
0.998     2289.13     212.861     7176.61     242.502     0.241833     0.023951
0.999     2138.65     162.425     5330.82     190.712     0.286319     0.0237709
