cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
1     1153.08     119.834     4108.06     161.189     0.219169     0.0242654
2     2483.4     321.732     8894.56     357.804     0.218264     0.0297452
3     2551.69     235.51     9117.37     284.864     0.218671     0.0213378
4     2549.48     231.772     9129.11     281.864     0.218304     0.0209855
5     2549.48     231.772     9129.11     281.864     0.218304     0.0209855
6     2549.48     231.772     9129.11     281.864     0.218304     0.0209855
7     2550.44     231.683     9129.17     281.79     0.218367     0.0209764
8     2550.44     231.683     9129.17     281.79     0.218367     0.0209764
9     2550.44     231.683     9129.17     281.79     0.218367     0.0209764
10     2550.44     231.683     9129.17     281.79     0.218367     0.0209764
