cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
0.1     2367.52     377.223     13005.4     407.223     0.154005     0.0251603
0.2     2720.49     229.874     12973.1     280.193     0.173351     0.0151848
0.3     2770.53     234.77     13241.2     284.263     0.173032     0.0151941
0.4     2777.81     232.274     13097.6     282.215     0.174976     0.0151755
0.5     2783.29     232.626     13123.9     282.507     0.17497     0.0151678
0.6     2781.54     232.067     13110.7     282.051     0.175025     0.0151464
0.7     2781.54     232.067     13110.7     282.051     0.175025     0.0151464
0.8     2781.54     232.067     13110.7     282.051     0.175025     0.0151464
0.9     2781.54     232.067     13110.7     282.051     0.175025     0.0151464
1     2781.54     232.067     13110.7     282.051     0.175025     0.0151464
