cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
1     2403.31     240.558     13701.5     282.756     0.149229     0.015328
2     2413.6     261.367     13122.4     302.003     0.155355     0.0172909
3     2486.55     269.214     13549.7     309.444     0.155058     0.0172499
4     2490.5     255.938     13342.8     298.766     0.157295     0.0166303
5     2530.94     252.171     13319.5     296.17     0.159676     0.0163849
6     2583.79     290.052     13764.5     328.819     0.158047     0.0182414
7     2680.15     275.325     14092.1     316.832     0.159797     0.0168957
8     2716.75     267.075     14058.1     309.993     0.161954     0.016404
9     2742.42     265.514     14076.8     308.969     0.163053     0.0162729
10     2740.32     253.186     13728.7     298.729     0.166392     0.0158744
11     2766.64     251.1     13749.7     297.185     0.16751     0.0157069
12     2768.8     249.314     13780.9     295.865     0.167302     0.015564
13     2762.88     241.589     13529.2     289.574     0.169584     0.0153393
14     2779.15     239.101     13439.4     287.576     0.171356     0.0152628
15     2774.88     252.536     13414.1     298.317     0.171406     0.0161389
16     2768.83     237.282     13330.5     286.228     0.171984     0.0152644
17     2763.52     254.45     13255.3     300.077     0.172517     0.0164399
18     2769.74     233.99     13231.2     283.589     0.173099     0.0151548
19     2771     235.347     13267.2     284.734     0.172775     0.0152042
20     2770.53     234.77     13241.2     284.263     0.173032     0.0151941
21     2767.78     269.354     13298.6     312.809     0.172272     0.0173395
22     2767.55     234.777     13228.9     284.303     0.173011     0.0152089
23     2770.33     275.978     13327.2     318.5     0.172097     0.0177263
24     2769.62     235.474     13250.5     284.875     0.172884     0.0152302
25     2769.62     235.474     13250.5     284.875     0.172884     0.0152302
26     2769.62     235.474     13250.5     284.875     0.172884     0.0152302
27     2769.62     235.474     13250.5     284.875     0.172884     0.0152302
28     2769.62     235.474     13250.5     284.875     0.172884     0.0152302
29     2769.62     235.474     13250.5     284.875     0.172884     0.0152302
30     2769.62     235.474     13250.5     284.875     0.172884     0.0152302
