cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
0     2720.06     266.921     13029.8     310.669     0.172704     0.0175325
1     2720.06     266.921     13029.8     310.669     0.172704     0.0175325
2     2720.06     266.921     13029.8     310.669     0.172704     0.0175325
3     2720.06     266.921     13029.8     310.669     0.172704     0.0175325
4     2720.06     266.921     13029.8     310.669     0.172704     0.0175325
5     2720.06     266.921     13029.8     310.669     0.172704     0.0175325
6     2720.06     266.921     13029.8     310.669     0.172704     0.0175325
7     2720.06     266.921     13029.8     310.669     0.172704     0.0175325
8     2720.06     266.921     13029.8     310.669     0.172704     0.0175325
9     2749.38     292.923     13430     332.595     0.169931     0.0186936
10     2737.8     347.755     12450.5     371.222     0.180257     0.0236787
11     2802.12     353.807     12593.3     372.039     0.18201     0.0237693
12     2674.43     248.553     10945.9     281.848     0.196356     0.0190358
13     2531.33     240.384     9118.21     269.486     0.21729     0.0217062
14     2472.78     553.748     7085.8     562.976     0.258697     0.0617486
15     2507.28     680.071     7559.73     465.703     0.249059     0.0705651
16     2267.71     153.36     5486.68     135.227     0.292442     0.0212272
17     2029.33     129.215     3786.6     153.553     0.348927     0.0252702
18     1912.39     139.127     3537.17     158.106     0.350926     0.0289085
19     1713.44     101.609     2594.68     122.89     0.397723     0.0278026
