cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
0     2770.81     237.186     13252.6     286.264     0.172922     0.0153365
1     2770.81     237.186     13252.6     286.264     0.172922     0.0153365
2     2770.81     237.186     13252.6     286.264     0.172922     0.0153365
3     2770.81     237.186     13252.6     286.264     0.172922     0.0153365
4     2770.81     237.186     13252.6     286.264     0.172922     0.0153365
5     2770.81     237.186     13252.6     286.264     0.172922     0.0153365
6     2770.81     237.186     13252.6     286.264     0.172922     0.0153365
7     2770.81     237.186     13252.6     286.264     0.172922     0.0153365
8     2836.73     327.901     15304     363.445     0.156374     0.0185614
9     2536.03     227.856     11816.8     274.498     0.176692     0.0164716
10     2400.42     263.452     11692.9     300.136     0.170323     0.0193063
11     2016.44     189.372     10256.9     228.345     0.164294     0.0159323
12     1355.81     118.496     7293.42     160.408     0.156755     0.0141689
13     790.861     1306.49     4648.47     783.083     0.145397     0.24362
14     763.875     6.25732     2239.28     68.1287     0.254357     0.00615778
15     763.94     0.810105     1315.25     28.1041     0.367423     0.00498372
