cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
10     2739.59     238.472     12468.4     283.66     0.180142     0.0162835
11     2807.56     264.173     12821.1     266.784     0.179642     0.0174454
12     2797.25     897.527     12367.2     649.993     0.184461     0.060702
13     2534.6     605.397     9151.03     600.145     0.216899     0.0541693
14     2475.43     551.363     7104.5     559.76     0.258397     0.0613318
15     2357.02     177.659     6261.91     203.959     0.27347     0.0223279
16     2270.76     151.521     5500.74     137.948     0.292191     0.020964
17     2029.99     129.208     3785.34     153.541     0.349075     0.0252738
18     1913.71     140.286     3543.26     159.15     0.350691     0.0290993
19     1714.05     101.739     2593.54     122.986     0.397914     0.027843
20     1618.97     97.7658     2286.74     115.941     0.414513     0.0297597
21     1490.37     94.642     1993.34     110.461     0.427811     0.0325137
22     1360.86     87.3347     1736.46     102.011     0.439368     0.0340286
23     1272.28     84.6696     1565.56     97.1873     0.448327     0.0361227
24     1196.99     81.6111     1382.34     92.2878     0.464071     0.038632
25     1059.43     74.2513     1169.53     84.3599     0.475303     0.0410363
26     954.578     69.0283     1022.54     78.3822     0.482812     0.0432374
27     871.671     66.5084     907.215     74.4945     0.490009     0.0464171
28     807.375     65.4285     809.931     72.1484     0.49921     0.0504028
29     489.297     31.4178     282.139     47.0025     0.634268     0.0618009
