cut_val	nsig	nsig_err	nbkg	nbkg_err	S/(S+B) 	sig_err
0.4     2725.7     216.527     11273.9     261.953     0.194698     0.0161727
0.5     2558.38     161.492     7474.52     204.279     0.254999     0.0174038
0.6     2584.04     150.513     5728.65     182.507     0.310855     0.0201519
0.7     2484.47     130.099     4158.27     155.837     0.374013     0.0226764
0.8     2395.07     115.768     3125.22     136.025     0.433866     0.0252366
0.9     2310.48     112.149     2581.87     127.486     0.472265     0.0281802
1     2199.84     104.879     2099.62     117.296     0.511655     0.0307516
1.1     2156.48     105.514     1838.43     114.482     0.539807     0.0337665
1.2     2125.11     110.321     1785.2     116.389     0.543463     0.0359544
1.3     2122.96     123.191     1658.33     126.639     0.561438     0.0418273
1.4     2056.36     114.125     1464.8     116.533     0.584001     0.0422174
1.5     1971.16     102.605     1266.98     104.238     0.608733     0.0419531
1.6     1905.26     107.207     1178.38     107.974     0.61786     0.0462403
1.7     1802.3     101.663     1018.25     102.091     0.638989     0.0486262
1.8     1681.69     90.535     912.013     90.9272     0.648374     0.0474054
1.9     1629.99     96.4719     861.585     96.2474     0.654201     0.0527203
2     1607.13     101.23     818.738     100.253     0.662498     0.0570547
2.1     1549.75     98.5587     769.598     97.2065     0.668184     0.0582769
2.2     1458.83     82.6752     677.486     81.0478     0.682872     0.0535466
2.3     1410.78     78.6485     614.211     76.5207     0.696685     0.0541636
